start_idx,end_idx,label,start_time,end_time,label_name
0,149,4,0,149,go_center
149,153,5,149,153,go_dm
153,296,6,153,296,go_tube
296,385,7,296,385,go_return
385,471,4,385,471,go_center
471,474,5,471,474,go_dm
474,499,6,474,499,go_tube
499,566,7,499,566,go_return
566,632,4,566,632,go_center
632,637,5,632,637,go_dm
637,684,6,637,684,go_tube
684,749,7,684,749,go_return
749,811,4,749,811,go_center
811,819,5,811,819,go_dm
819,860,6,819,860,go_tube
860,993,7,860,993,go_return
993,1022,4,993,1022,go_center
1022,1090,5,1022,1090,go_dm
1090,1119,6,1090,1119,go_tube
1119,1186,7,1119,1186,go_return
1186,1558,4,1186,1558,go_center
1558,1569,5,1558,1569,go_dm
1569,1619,6,1569,1619,go_tube
1619,1681,7,1619,1681,go_return
1681,1777,4,1681,1777,go_center
1777,1787,5,1777,1787,go_dm
1787,1850,6,1787,1850,go_tube
1850,1933,7,1850,1933,go_return
1933,1950,0,1933,1950,win_center
1950,2114,1,1950,2114,win_dm
2114,2269,2,2114,2269,win_tube
2269,2339,3,2269,2339,win_return
2339,2469,0,2339,2469,win_center
2469,2475,1,2469,2475,win_dm
2475,2793,2,2475,2793,win_tube
2793,2878,3,2793,2878,win_return
2878,2948,4,2878,2948,go_center
2948,2955,5,2948,2955,go_dm
2955,2982,6,2955,2982,go_tube
2982,3039,7,2982,3039,go_return
3039,3136,4,3039,3136,go_center
3136,3140,5,3136,3140,go_dm
3140,3169,6,3140,3169,go_tube
3169,3276,7,3169,3276,go_return
3276,3341,0,3276,3341,win_center
3341,3345,1,3341,3345,win_dm
3345,3589,2,3345,3589,win_tube
3589,3688,3,3589,3688,win_return
3688,3902,4,3688,3902,go_center
3902,3911,5,3902,3911,go_dm
3911,4038,6,3911,4038,go_tube
4038,4106,7,4038,4106,go_return
4106,4267,0,4106,4267,win_center
4267,4342,1,4267,4342,win_dm
4342,4585,2,4342,4585,win_tube
4585,4685,3,4585,4685,win_return
4685,4782,0,4685,4782,win_center
4782,4896,1,4782,4896,win_dm
4896,5205,2,4896,5205,win_tube
5205,5350,3,5205,5350,win_return
5350,5358,0,5350,5358,win_center
5358,5433,1,5358,5433,win_dm
5433,5568,2,5433,5568,win_tube
5568,5678,3,5568,5678,win_return
5678,5759,0,5678,5759,win_center
5759,5767,1,5759,5767,win_dm
5767,5882,2,5767,5882,win_tube
5882,5973,3,5882,5973,win_return
5973,6033,0,5973,6033,win_center
6033,6041,1,6033,6041,win_dm
6041,6237,2,6041,6237,win_tube
6237,6317,3,6237,6317,win_return
6317,6499,4,6317,6499,go_center
6499,6508,5,6499,6508,go_dm
6508,6533,6,6508,6533,go_tube
6533,6623,7,6533,6623,go_return
6623,6698,4,6623,6698,go_center
6698,6739,5,6698,6739,go_dm
6739,6802,6,6739,6802,go_tube
6802,6871,7,6802,6871,go_return
6871,6947,0,6871,6947,win_center
6947,6957,1,6947,6957,win_dm
6957,7199,2,6957,7199,win_tube
7199,7363,3,7199,7363,win_return
7363,7380,4,7363,7380,go_center
7380,7382,5,7380,7382,go_dm
7382,7407,6,7382,7407,go_tube
7407,7498,7,7407,7498,go_return
7498,7574,0,7498,7574,win_center
7574,7576,1,7574,7576,win_dm
7576,7862,2,7576,7862,win_tube
7862,7940,3,7862,7940,win_return
7940,7941,0,7940,7941,win_center
7941,8051,1,7941,8051,win_dm
8051,8267,2,8051,8267,win_tube
8267,8376,3,8267,8376,win_return
8376,8441,0,8376,8441,win_center
8441,8445,1,8441,8445,win_dm
8445,8621,2,8445,8621,win_tube
8621,8736,3,8621,8736,win_return
8736,8800,4,8736,8800,go_center
8800,8804,5,8800,8804,go_dm
8804,8836,6,8804,8836,go_tube
8836,8902,7,8836,8902,go_return
8902,8938,0,8902,8938,win_center
8938,9008,1,8938,9008,win_dm
9008,9102,2,9008,9102,win_tube
9102,9187,3,9102,9187,win_return
9187,9259,1,9187,9259,win_dm
9259,9375,2,9259,9375,win_tube
9375,9522,3,9375,9522,win_return
9522,9530,0,9522,9530,win_center
9530,9533,1,9530,9533,win_dm
9533,9794,2,9533,9794,win_tube
9794,9875,3,9794,9875,win_return
9875,9914,4,9875,9914,go_center
9914,10007,5,9914,10007,go_dm
10007,10027,6,10007,10027,go_tube
10027,10097,7,10027,10097,go_return
10097,10202,0,10097,10202,win_center
10202,10207,1,10202,10207,win_dm
10207,10413,2,10207,10413,win_tube
10413,10510,3,10413,10510,win_return
